Animal,runno,Day,Acq Number,genotype,sex,age,age_group,Pool time,Pool Distance,NW Time,NW Distance,NE Time,NE Distance,SE Time,SE Distance,SW Time,SW Distance,NormSWTime,NormSWDist,Average Pool Speed,Average SW Speed
170206_9,N54818,Day4,3,0,M,367,old,21.1,23.794,12,13.47,0.2,0.59,3.8,6.948,5.2,2.786,0.246445498,0.117088342,1.127677725,0.535769231
170206_10,N54824,Day4,3,0,M,367,old,42.2,66.63,12.2,20.287,3.4,7.079,9.4,17.239,17.2,22.024,0.407582938,0.330541798,1.578909953,1.280465116
170206_11,N54825,Day4,3,0,M,367,old,13,5.08,0,0,0,0,0,0,13,5.08,1,1,0.390769231,0.390769231
170206_12,N54826,Day4,3,0,M,367,old,31.2,37.494,4.4,7.276,0,0,14.4,16.092,12.4,14.126,0.397435897,0.376753614,1.201730769,1.139193548
170227_1,N54859,Day4,3,0,F,120,young,7.6,3.441,0,0,0,0,0,0,7.6,3.441,1,1,0.452763158,0.452763158
170227_2,N54860,Day4,3,0,F,120,young,13.7,14.421,2.2,3.048,0,0,0.3,0.328,11.2,11.045,0.817518248,0.765896956,1.052627737,0.986160714
170227_3,N54861,Day4,3,0,F,120,young,5.7,5.08,0,0,0,0,0.5,0.918,5.3,4.162,0.929824561,0.819291339,0.89122807,0.785283019
170227_4,N54873,Day4,3,0,F,120,young,4.3,3.015,0,0,0,0,0,0,4.3,3.015,1,1,0.701162791,0.701162791
170227_5,N54874,Day4,3,0,F,120,young,19.4,33.266,6.7,13.536,0.9,0.885,4.2,10.848,7.5,7.997,0.386597938,0.240395599,1.714742268,1.066266667
170227_6,N54875,Day4,3,0,M,120,young,5.7,2.622,0,0,0,0,0,0,5.7,2.622,1,1,0.46,0.46
170227_7,N54876,Day4,3,0,M,120,young,17.2,7.178,0,0,0,0,0,0,17.2,7.178,1,1,0.417325581,0.417325581
170227_8,N54877,Day4,3,0,M,120,young,20.7,29.562,9.8,14.945,0.8,2.327,0.8,2.294,9.3,9.996,0.449275362,0.338136797,1.428115942,1.07483871
170227_9,N54879,Day4,3,0,M,120,young,3.5,0.262,0,0,0,0,0,0,3.5,0.262,1,1,0.074857143,0.074857143
170227_10,N54880,Day4,3,0,M,120,young,40.8,57.519,6.5,11.504,3,6.883,6.8,11.602,24.6,27.53,0.602941177,0.478624455,1.409779412,1.119105691
170313_1,N54837,Day4,3,0,F,380,old,28.1,31.988,0,0,2,2.786,15.8,21.336,10.4,7.866,0.370106762,0.245904714,1.138362989,0.756346154
170313_2,N54838,Day4,3,0,F,380,old,6.3,5.768,0,0,0,0,1.2,1.54,5.1,4.228,0.80952381,0.733009709,0.915555556,0.829019608
170313_3,N54843,Day4,3,0,M,380,old,58,67.875,9.3,14.814,5,4.687,28.4,30.808,15.3,17.567,0.263793103,0.258813996,1.170258621,1.148169935
170313_4,N54844,Day4,3,0,M,380,old,6,3.998,0,0,0,0,0.4,0.492,5.6,3.507,0.933333333,0.877188594,0.666333333,0.62625
170313_5,N54856,Day4,3,0,M,380,old,7.1,6.293,0,0,0,0,1.3,1.966,5.9,4.326,0.830985916,0.687430478,0.886338028,0.733220339
170313_6,N54857,Day4,3,0,M,380,old,3.5,0.524,0,0,0,0,0,0,3.5,0.524,1,1,0.149714286,0.149714286
170313_7,N54858,Day4,3,0,M,380,old,15.2,16.485,7.8,8.718,0,0,0.5,0.557,6.9,7.21,0.453947368,0.437367304,1.084539474,1.044927536
170501_3,N54891/N54900LRspecific,Day4,3,0,M,381,old,5.3,0.557,0,0,0,0,0,0,5.3,0.557,1,1,0.10509434,0.10509434
