Animal,runno,Day,Acq Number,genotype,sex,age,age_group,Pool time,Pool Distance,NW Time,NW Distance,NE Time,NE Distance,SE Time,SE Distance,SW Time,SW Distance,NormSWTime,NormSWDist,Average Pool Speed,Average SW Speed
170123_1,N54760/N54754/N54755,Day5,1,0,F,400,old,20.6,19.959,0.5,0.754,2.1,3.376,8.4,8.751,9.5,7.079,0.461165049,0.354677088,0.968883495,0.745157895
170123_2,N54757/N54759,Day5,1,0,F,400,old,31.5,45.261,1.9,3.638,11.1,18.55,8,11.635,10.5,11.438,0.333333333,0.252712048,1.436857143,1.089333333
170123_3,N54765,Day5,1,0,F,400,old,21.6,28.219,2.9,5.178,9.3,12.028,3,5.703,6.4,5.309,0.296296296,0.188135653,1.306435185,0.82953125
170123_4,N54766,Day5,1,4,M,396,old,18.6,12.749,2.8,2.524,8.3,6.981,0,0,7.5,3.245,0.403225807,0.254529767,0.685430108,0.432666667
170123_5,N54770,Day5,1,4,M,396,old,8.7,8.882,0,0,1.1,2.229,0.2,0.492,7.4,6.162,0.850574713,0.693762666,1.02091954,0.832702703
170123_6,N54761,Day5,1,4,F,396,old,18.3,13.929,0,0,5.5,5.342,8,6.293,4.8,2.294,0.262295082,0.164692368,0.761147541,0.477916667
170123_7,N54762,Day5,1,4,F,396,old,31.6,17.862,10.6,6.162,9.2,7.702,0,0,11.7,3.998,0.370253165,0.223827119,0.565253165,0.341709402
170123_8,N54763,Day5,1,4,F,396,old,18.3,21.991,4.5,6.227,0.9,1.409,0.3,0.819,12.6,13.536,0.68852459,0.615524533,1.201693989,1.074285714
170123_9,N54764,Day5,1,4,F,396,old,36.4,45.327,4.1,5.08,0.3,0.426,5.7,7.604,26.4,32.217,0.725274725,0.710768416,1.245247253,1.220340909
170123_10,N54771,Day5,1,3,F,388,old,13.1,16.911,0,0,0,0,5,10.488,8.1,6.424,0.618320611,0.37987109,1.290916031,0.79308642
170123_11,N54772,Day5,1,3,F,388,old,19.9,20.549,0,0,4.6,6.522,4,5.834,11.3,8.194,0.567839196,0.398754197,1.032613065,0.725132743
170123_12,,Day5,1,3,F,388,old,30,40.116,6,9.472,8.3,13.241,3.9,4.982,11.9,12.421,0.396666667,0.309627082,1.3372,1.043781513
170206_1,N54798,Day5,1,3,F,394,old,9.5,8.259,0,0,0.5,0.459,2,3.835,7,3.966,0.736842105,0.480203415,0.869368421,0.566571429
170206_2,N54805/N54800,Day5,1,3,F,394,old,20.7,25.171,0,0,0,0,13.3,17.829,7.4,7.341,0.357487923,0.291645147,1.215990338,0.992027027
170206_3,N54801,Day5,1,3,M,393,old,8.7,12.094,1.6,4.392,3.4,5.801,0,0,3.8,1.901,0.436781609,0.157185381,1.390114943,0.500263158
170206_4,N54802,Day5,1,3,M,393,old,50.8,86.196,8.6,19.861,11.1,21.041,5.6,8.423,25.5,36.871,0.501968504,0.427757669,1.696771654,1.445921569
170206_5,N54803,Day5,1,3,M,393,old,7.1,6.489,2.8,4.293,0,0,0,0,4.2,2.196,0.591549296,0.338418863,0.913943662,0.522857143
170206_6,N54804,Day5,1,3,M,383,old,8.7,9.308,0,0,2.3,4.326,0.6,0.787,5.8,4.195,0.666666667,0.450687581,1.069885058,0.723275862
170206_7,N54806,Day5,1,3,M,383,old,11.7,14.814,1.8,4.392,0,0,0.4,0.426,9.6,9.996,0.820512821,0.674767112,1.266153846,1.04125
170206_8,N54807,Day5,1,3,M,383,old,60,116.283,4.8,9.799,14.4,27.596,24.9,45.753,15.9,33.135,0.265,0.284951369,1.93805,2.083962264
170206_9,N54818,Day5,1,0,M,367,old,9.1,0,0,0,0,0,0,0,9.1,0,1,,0,0
170206_10,N54824,Day5,1,0,M,367,old,49.9,82.657,15.8,26.908,10.4,20.451,9.3,16.453,14.4,18.845,0.288577154,0.22799037,1.656452906,1.308680556
170206_11,N54825,Day5,1,0,M,367,old,18.6,0,0,0,0,0,0,0,18.6,0,1,,0,0
170206_12,N54826,Day5,1,0,M,367,old,29.1,48.342,3.5,5.768,7.5,16.387,5,10.815,13.1,15.371,0.450171821,0.317963676,1.661237113,1.173358779
170227_1,N54859,Day5,1,0,F,120,young,8.2,9.373,0,0,2.1,2.229,1.9,4.851,4.2,2.294,0.512195122,0.244745546,1.143048781,0.546190476
170227_2,N54860,Day5,1,0,F,120,young,25.6,47.555,7,17.108,0.7,2.294,2.3,4.883,15.6,23.27,0.609375,0.489328146,1.857617188,1.491666667
170227_3,N54861,Day5,1,0,F,120,young,21.7,32.938,1.1,1.966,0,0,6.6,11.569,13.9,19.402,0.640552995,0.589046087,1.517880184,1.395827338
170227_4,N54873,Day5,1,0,F,120,young,9.8,12.061,0.1,0.328,4.7,8.751,0,0,4.9,2.982,0.5,0.247243181,1.230714286,0.608571429
170227_5,N54874,Day5,1,0,F,120,young,8.1,11.045,1,3.343,1.6,4.228,0,0,5.4,3.474,0.666666667,0.314531462,1.363580247,0.643333333
170227_6,N54875,Day5,1,0,M,120,young,60,86.294,0,0,0,0,18,33.233,42,53.061,0.7,0.614886319,1.438233333,1.263357143
170227_7,N54876,Day5,1,0,M,120,young,26,24.056,0,0,0.4,0.459,3.3,5.211,22.2,18.386,0.853846154,0.764299967,0.925230769,0.828198198
170227_8,N54877,Day5,1,0,M,120,young,31.1,63.844,4.8,10.226,6.7,15.961,9.7,24.613,9.9,13.044,0.318327974,0.204310507,2.052861736,1.317575758
170227_9,N54879,Day5,1,0,M,120,young,10.5,8.456,0.1,0.229,1.5,4.261,0.8,0.492,8,3.474,0.761904762,0.410832545,0.805333333,0.43425
170227_10,N54880,Day5,1,0,M,120,young,6.1,6.489,0,0,0.8,2.032,0.8,2.36,4.5,2.098,0.737704918,0.323316382,1.063770492,0.466222222
170313_1,N54837,Day5,1,0,F,380,old,8,5.932,0.7,1.377,1,1.016,0,0,6.3,3.54,0.7875,0.596763318,0.7415,0.561904762
170313_2,N54838,Day5,1,0,F,380,old,60,106.516,18.8,34.216,16.4,30.808,8.9,15.043,15.8,26.449,0.263333333,0.248310113,1.775266667,1.673987342
170313_3,N54843,Day5,1,0,M,380,old,13.8,9.046,0,0,3.2,3.507,0.9,1.278,9.6,4.261,0.695652174,0.471036922,0.655507246,0.443854167
170313_4,N54844,Day5,1,0,M,380,old,6.6,5.244,0,0,0,0,1.8,3.081,4.8,2.163,0.727272727,0.412471396,0.794545455,0.450625
170313_5,N54856,Day5,1,0,M,380,old,14.9,12.749,0,0,0.5,0.787,2.7,5.113,11.7,6.85,0.785234899,0.537297043,0.855637584,0.585470086
170313_6,N54857,Day5,1,0,M,380,old,18.8,16.322,0,0,2.6,1.671,7.2,8.783,9,5.867,0.478723404,0.359453498,0.868191489,0.651888889
170313_7,N54858,Day5,1,0,M,380,old,0,0,0,0,0,0,0,0,0,0,,,,
170501_3,N54891/N54900LRspecific,Day5,1,0,M,381,old,18.1,13.47,3.1,2.917,3.2,3.277,0,0,11.8,7.276,0.651933702,0.540163326,0.744198895,0.61661017
170501_4,N54892,Day5,1,0,F,381,old,10.3,8.947,0,0,1.1,2.163,3.3,3.867,6,2.917,0.582524272,0.326031072,0.868640777,0.486166667
170501_5,N54893,Day5,1,0,M,381,old,16.8,11.537,0,0,1.2,0,9.9,7.243,5.7,4.293,0.339285714,0.372107134,0.686726191,0.753157895
170501_6,N54897,Day5,1,0,M,381,old,9.7,10.947,0,0,1.2,2.261,0.9,2.327,7.5,6.358,0.773195876,0.580798392,1.128556701,0.847733333
170501_7,N54898,Day5,1,0,F,381,old,16.4,0,0,0,0,0,16.4,0,0,0,0,,0,
170501_8,N54899,Day5,1,0,F,381,old,9.4,8.325,0.9,1.442,0,0,0,0,8.5,6.883,0.904255319,0.826786787,0.885638298,0.809764706
161107_1,N54716/N54915,Day5,2,4,F,383,old,60,68.367,6.4,8.39,17.2,16.322,29.2,32.381,7.2,11.274,0.12,0.16490412,1.13945,1.565833333
161107_2,N54714/N54916,Day5,2,4,F,383,old,26.1,19.697,1.5,3.474,3.9,5.998,2.2,1.082,9.6,9.144,0.367816092,0.464233132,0.75467433,0.9525
161107_3,N54717,Day5,2,4,F,383,old,14.6,21.074,3.4,3.736,3,5.834,1.6,1.966,9.8,9.537,0.671232877,0.452548164,1.443424658,0.973163265
161107_4,N54715/N54917,Day5,2,4,M,379,old,14.4,20.91,0,0,6.2,5.342,11.7,13.241,4.7,2.327,0.326388889,0.111286466,1.452083333,0.495106383
161107_5,N54718//N54721,Day5,2,4,M,379,old,15.6,22.057,1,1.704,3.7,7.145,1.3,1.999,11.4,11.209,0.730769231,0.508183343,1.413910256,0.983245614
161107_6,N54719,Day5,2,4,M,379,old,60,14.093,0,0,0,0,10.6,12.421,9.1,1.671,0.151666667,0.118569503,0.234883333,0.183626374
161107_7,N54720,Day5,2,4,M,379,old,60,8.062,0,0,0.8,1.18,2.2,4.425,5.6,2.458,0.093333333,0.304887125,0.134366667,0.438928571
170123_1,N54760/N54754/N54755,Day5,2,0,F,400,old,20.6,4.752,0,0,0,0,1.3,2.229,4.1,2.524,0.199029126,0.531144781,0.230679612,0.615609756
170123_2,N54757/N54759,Day5,2,0,F,400,old,31.5,28.382,3.1,5.867,2.1,3.769,3.8,7.309,10.3,11.438,0.326984127,0.403001903,0.901015873,1.110485437
170123_3,N54765,Day5,2,0,F,400,old,21.6,19.468,0.5,0.819,2.3,2.982,8.2,11.11,5.7,4.556,0.263888889,0.234025067,0.901296296,0.799298246
170123_4,N54766,Day5,2,4,M,396,old,18.6,6.62,0,0,0,0,3.9,4.293,4.9,2.327,0.26344086,0.351510574,0.355913979,0.474897959
170123_5,N54770,Day5,2,4,M,396,old,8.7,4.359,0,0,0,0,0.7,1.573,4.3,2.786,0.494252874,0.639137417,0.501034483,0.647906977
170123_6,N54761,Day5,2,4,F,396,old,18.3,15.666,0,0,0,0,6.7,6.686,13.5,8.98,0.737704918,0.573215882,0.856065574,0.665185185
170123_7,N54762,Day5,2,4,F,396,old,31.6,9.963,0,0,0,0,2.3,3.966,7.8,5.998,0.246835443,0.602027502,0.31528481,0.768974359
170123_8,N54763,Day5,2,4,F,396,old,18.3,4.293,0,0,0,0,0.9,2.065,4.4,2.229,0.240437159,0.519217331,0.234590164,0.506590909
170123_9,N54764,Day5,2,4,F,396,old,36.4,8.062,0,0,0,0,3.6,5.932,4.1,2.13,0.112637363,0.264202431,0.221483517,0.519512195
170123_10,N54771,Day5,2,3,F,388,old,13.1,20.484,2.8,3.31,0,0,1.1,2.261,13.8,14.912,1.053435115,0.727982816,1.563664122,1.08057971
170123_11,N54772,Day5,2,3,F,388,old,19.9,3.736,0,0,0,0,0.8,1.704,3.8,2.032,0.190954774,0.543897216,0.187738694,0.534736842
170123_12,,Day5,2,3,F,388,old,30,4.162,0,0,0,0,1.1,1.966,4.7,2.196,0.156666667,0.527630947,0.138733333,0.467234043
170206_1,N54798,Day5,2,3,F,394,old,9.5,19.828,0.7,1.245,0,0,10.1,12.094,10.8,6.489,1.136842105,0.327264475,2.087157895,0.600833333
170206_2,N54805/N54800,Day5,2,3,F,394,old,20.7,27.104,7.2,11.602,4,6.62,2.2,3.736,7.3,5.146,0.352657005,0.189861275,1.309371981,0.704931507
170206_3,N54801,Day5,2,3,M,393,old,8.7,110.22,15,29.169,8,15.699,14.6,25.826,22.4,39.526,2.574712644,0.358610053,12.66896552,1.764553571
170206_4,N54802,Day5,2,3,M,393,old,50.8,7.473,0,0,0,0,2.3,4.326,4.2,3.146,0.082677165,0.420982203,0.147106299,0.749047619
170206_5,N54803,Day5,2,3,M,393,old,7.1,2.851,0,0,0,0,0.4,0.688,4.1,2.163,0.577464789,0.758681165,0.401549296,0.527560976
170206_7,N54806,Day5,2,3,M,383,old,11.7,14.486,0,0,0,0,0.8,1.934,9.6,12.553,0.820512821,0.866560817,1.238119658,1.307604167
170206_8,N54807,Day5,2,3,M,383,old,60,8.62,0,0,0.8,0.787,2.1,5.309,4.1,2.524,0.068333333,0.292807425,0.143666667,0.615609756
170206_9,N54818,Day5,2,0,M,367,old,9.1,10.586,0,0,0,0,3.4,4.523,9.6,6.063,1.054945055,0.572737578,1.163296703,0.6315625
170206_10,N54824,Day5,2,0,M,367,old,49.9,0,0,0,0,0,0,0,9.9,0,0.198396794,,0,0
170206_11,N54825,Day5,2,0,M,367,old,18.6,46.179,0,0,6.5,11.799,7.8,15.207,17.6,19.173,0.946236559,0.415188722,2.482741936,1.089375
170206_12,N54826,Day5,2,0,M,367,old,29.1,13.47,4.3,7.309,0,0,0,0,8.4,6.162,0.288659794,0.457461025,0.462886598,0.733571429
170227_1,N54859,Day5,2,0,F,120,young,8.2,23.073,5.6,7.473,0,0,0,0,13.3,15.601,1.62195122,0.67615828,2.813780488,1.173007519
170227_2,N54860,Day5,2,0,F,120,young,25.6,2.819,0,0,0,0,0.3,0.492,3.8,2.327,0.1484375,0.825470025,0.110117188,0.612368421
170227_3,N54861,Day5,2,0,F,120,young,21.7,5.014,0,0,0,0,2.3,1.508,4.9,3.507,0.225806452,0.699441564,0.231059908,0.715714286
170227_4,N54873,Day5,2,0,F,120,young,9.8,0,0,0,0,0,9.6,0,0,0,0,,0,
170227_5,N54874,Day5,2,0,F,120,young,8.1,15.338,4.4,10.193,0,0,0.9,1.737,5.5,3.409,0.679012346,0.222258443,1.893580247,0.619818182
170227_6,N54875,Day5,2,0,M,120,young,60,73.021,7.1,2.032,4.8,6.096,15.4,27.694,32.7,37.199,0.545,0.509428795,1.217016667,1.137584098
170227_7,N54876,Day5,2,0,M,120,young,26,0,0,0,0,0,9.7,0,0,0,0,,0,
170227_8,N54877,Day5,2,0,M,120,young,31.1,15.011,1.4,3.376,0.4,0.721,2,4.293,5.5,6.62,0.176848875,0.441009926,0.48266881,1.203636364
170227_9,N54879,Day5,2,0,M,120,young,10.5,0,0,0,0,0,0.5,0,8.4,0,0.8,,0,0
170227_10,N54880,Day5,2,0,M,120,young,6.1,2.622,0,0,0,0,0.7,0,18.5,2.622,3.032786885,1,0.429836066,0.14172973
170313_1,N54837,Day5,2,0,F,380,old,8,0,0,0,0,0,0,0,0,0,0,,0,
170313_2,N54838,Day5,2,0,F,380,old,60,4.916,0,0,0,0,7.6,2.163,4.1,2.753,0.068333333,0.560008137,0.081933333,0.671463415
170313_3,N54843,Day5,2,0,M,380,old,13.8,1.049,0,0,0,0,0,0,4.2,1.049,0.304347826,1,0.076014493,0.249761905
170313_4,N54844,Day5,2,0,M,380,old,6.6,1.147,0,0,0,0,0,0,4,1.147,0.606060606,1,0.173787879,0.28675
170313_5,N54856,Day5,2,0,M,380,old,14.9,8.849,0,0,0,0,1.6,1.442,9.5,7.407,0.637583893,0.837043734,0.593892617,0.779684211
170313_6,N54857,Day5,2,0,M,380,old,18.8,35.56,1.7,3.802,1.8,3.966,6.6,8.62,16.4,19.173,0.872340426,0.539173228,1.891489362,1.169085366
170313_7,N54858,Day5,2,0,M,380,old,0,7.735,0,0,0,0,0,0,9.7,7.735,,1,,0.79742268
170501_3,N54891/N54900LRspecific,Day5,2,0,M,381,old,18.1,16.584,4.8,6.686,3.4,6.03,0.4,0.426,5.5,3.441,0.303867403,0.207489146,0.916243094,0.625636364
170501_4,N54892,Day5,2,0,F,381,old,10.3,106.188,14.7,25.105,6.6,15.207,12.1,26.613,26.6,39.263,2.582524272,0.369749878,10.30951456,1.476052632
170501_5,N54893,Day5,2,0,M,381,old,16.8,14.257,0,0,0,0,4.5,4.195,12.9,10.062,0.767857143,0.705758575,0.848630952,0.78
170501_6,N54897,Day5,2,0,M,381,old,9.7,9.013,0,0,0,0,0,0,13.9,9.013,1.432989691,1,0.929175258,0.648417266
170501_7,N54898,Day5,2,0,F,381,old,16.4,0.524,0,0,0,0,0,0,3.3,0.524,0.201219512,1,0.03195122,0.158787879
170501_8,N54899,Day5,2,0,F,381,old,9.4,11.176,0,0,0,0,0,0,11.7,11.176,1.244680851,1,1.18893617,0.955213675
161107_1,N54716/N54915,Day5,3,4,F,383,old,60,68.76,16.6,14.945,13.4,16.846,15.6,19.14,14.4,17.829,0.24,0.259293194,1.146,1.238125
161107_2,N54714/N54916,Day5,3,4,F,383,old,24.6,20.91,4.3,4.49,0.3,0.459,3.9,6.653,16.2,9.308,0.658536585,0.445145863,0.85,0.574567901
161107_3,N54717,Day5,3,4,F,383,old,6.5,5.867,0,0,0,0,0,0,6.5,5.867,1,1,0.902615385,0.902615385
161107_4,N54715/N54917,Day5,3,4,M,379,old,45.7,68.006,2.8,5.572,0,0,3.7,7.964,39.2,54.471,0.857768053,0.800973444,1.48809628,1.389566327
161107_5,N54718//N54721,Day5,3,4,M,379,old,14.9,14.945,0,0,0.5,0.754,3.1,5.768,11.4,8.423,0.765100671,0.563599866,1.003020134,0.738859649
161107_6,N54719,Day5,3,4,M,379,old,29.8,26.678,6,6.817,0,0,3.9,4.425,20,15.437,0.67114094,0.578641577,0.895234899,0.77185
161107_7,N54720,Day5,3,4,M,379,old,10.7,6.391,0,0,0,0,2.6,1.606,8,4.785,0.747663551,0.748709122,0.59728972,0.598125
161107_8,N54722,Day5,3,4,M,379,old,9.4,12.782,0,0,0,0,3.5,7.079,5.9,5.703,0.627659575,0.446174308,1.359787234,0.96661017
170123_1,N54760/N54754/N54755,Day5,3,0,F,400,old,23.8,25.007,7.6,12.979,1.1,1.377,0,0,15.1,10.652,0.634453782,0.425960731,1.050714286,0.705430464
170123_2,N54757/N54759,Day5,3,0,F,400,old,7.9,8.325,2.6,4.588,0,0,0,0,5.4,3.736,0.683544304,0.448768769,1.053797468,0.691851852
170123_3,N54765,Day5,3,0,F,400,old,17,14.978,4.7,5.408,0,0,0,0,12.3,9.57,0.723529412,0.638937108,0.881058824,0.778048781
170123_4,N54766,Day5,3,4,M,396,old,28.6,25.105,24.5,5.441,3.4,7.374,0.5,12.29,0.2,0,0.006993007,0,0.877797203,0
170123_5,N54770,Day5,3,4,M,396,old,14.1,13.863,6.8,9.439,0,0,0,0,7.3,4.425,0.517730497,0.319194979,0.983191489,0.606164384
170123_6,N54761,Day5,3,4,F,396,old,37.9,29.103,9.1,9.406,0,0,0,0,28.8,19.697,0.759894459,0.676803079,0.767889182,0.683923611
170123_7,N54762,Day5,3,4,F,396,old,42.6,35.331,7.1,5.506,0,0,1.3,0.819,34.2,29.005,0.802816901,0.82095044,0.829366197,0.848099415
170123_8,N54763,Day5,3,4,F,396,old,7.2,8.783,3.5,7.21,0,0,0,0,3.8,1.573,0.527777778,0.179095981,1.219861111,0.413947368
170123_9,N54764,Day5,3,4,F,396,old,13,13.241,3.8,6.948,0,0,0,0,9.2,6.293,0.707692308,0.475266219,1.018538462,0.684021739
170123_10,N54771,Day5,3,3,F,388,old,9.1,14.126,7.6,2.655,0,0,1.5,11.471,0,0,0,0,1.552307692,
170123_11,N54772,Day5,3,3,F,388,old,60,0,0,0,0,0,0,0,60,0,1,,0,0
170123_12,,Day5,3,3,F,388,old,17.2,23.368,0.8,0.918,0,0,0,0,16.4,22.45,0.953488372,0.960715508,1.358604651,1.368902439
170206_1,N54798,Day5,3,3,F,394,old,8,5.309,0,0,0,0,0,0,8,5.309,1,1,0.663625,0.663625
170206_2,N54805/N54800,Day5,3,3,F,394,old,9,10.881,1.7,3.179,0.8,1.573,2.2,3.376,4.3,2.753,0.477777778,0.253009834,1.209,0.640232558
170206_3,N54801,Day5,3,3,M,393,old,7.3,3.572,0,0,0,0,0,0,7.3,3.572,1,1,0.489315069,0.489315069
170206_4,N54802,Day5,3,3,M,393,old,3.3,0.328,0,0,0,0,0,0,3.3,0.328,1,1,0.099393939,0.099393939
170206_5,N54803,Day5,3,3,M,393,old,5.8,2.786,0,0,0,0,0,0,5.8,2.786,1,1,0.480344828,0.480344828
170206_6,N54804,Day5,3,3,M,383,old,6.4,4.457,0,0,0,0,0,0,6.4,4.457,1,1,0.69640625,0.69640625
170206_7,N54806,Day5,3,3,M,383,old,19.9,30.939,1.3,1.737,0,0,2.8,5.441,15.9,23.761,0.798994975,0.767995087,1.554723618,1.494402516
170206_8,N54807,Day5,3,3,M,383,old,15.3,5.998,0,0,0,0,0,0,15.3,5.998,1,1,0.392026144,0.392026144
170206_9,N54818,Day5,3,0,M,367,old,3.2,0.262,0,0,0,0,0,0,3.2,0.262,1,1,0.081875,0.081875
170206_10,N54824,Day5,3,0,M,367,old,6.1,3.867,0,0,0.8,0.655,0.2,0.492,5,2.72,0.819672131,0.703387639,0.633934426,0.544
170206_11,N54825,Day5,3,0,M,367,old,5.6,1.868,0,0,0,0,0,0,5.6,1.868,1,1,0.333571429,0.333571429
170206_12,N54826,Day5,3,0,M,367,old,3.2,0.262,0,0,0,0,0,0,3.2,0.262,1,1,0.081875,0.081875
170227_1,N54859,Day5,3,0,F,120,young,13.9,15.043,1.2,1.999,0.8,1.442,1.1,1.409,10.9,10.193,0.784172662,0.677590906,1.082230216,0.935137615
170227_2,N54860,Day5,3,0,F,120,young,,0,0,0,0,0,0,0,0,0,,,,
170227_3,N54861,Day5,3,0,F,120,young,2,0.164,0,0,0,0,0,0,2,0.164,1,1,0.082,0.082
170227_4,N54873,Day5,3,0,F,120,young,3.3,0.229,0,0,0,0,0,0,3.3,0.229,1,1,0.069393939,0.069393939
170227_5,N54874,Day5,3,0,F,120,young,20.8,32.905,3.9,7.931,0,0,8.6,16.977,8.3,7.997,0.399038462,0.243032974,1.581971154,0.963493976
170227_6,N54875,Day5,3,0,M,120,young,15.9,10.75,0,0,0,0,0,0,15.9,10.75,1,1,0.676100629,0.676100629
170227_7,N54876,Day5,3,0,M,120,young,20.2,15.633,5.3,6.03,0,0,0,0,14.9,9.603,0.737623762,0.61427749,0.773910891,0.644496644
170227_8,N54877,Day5,3,0,M,120,young,14.6,22.45,1.2,2.753,0,0,2,3.638,11.4,16.059,0.780821918,0.71532294,1.537671233,1.408684211
170227_9,N54879,Day5,3,0,M,120,young,3.2,0,0,0,0,0,0,0,3.2,0,1,,0,0
170227_10,N54880,Day5,3,0,M,120,young,5.3,2.753,0,0,0,0,0,0,5.3,2.753,1,1,0.519433962,0.519433962
170313_1,N54837,Day5,3,0,F,380,old,10.6,9.439,0,0,0,0,0.1,0,10.5,9.439,0.990566038,1,0.890471698,0.898952381
170313_2,N54838,Day5,3,0,F,380,old,15.1,13.962,2.6,4.752,1.2,1.737,0.5,0.983,10.9,6.489,0.721854305,0.464761496,0.924635762,0.595321101
170313_3,N54843,Day5,3,0,M,380,old,30.5,31.562,6.5,11.405,0,0,3.5,2.687,20.5,17.469,0.672131148,0.553482035,1.034819672,0.852146342
170313_4,N54844,Day5,3,0,M,380,old,4,1.082,0,0,0,0,0,0,4,1.082,1,1,0.2705,0.2705
170313_5,N54856,Day5,3,0,M,380,old,12.3,0.459,0,0,0,0,0,0,12.3,0.459,1,1,0.037317073,0.037317073
170313_6,N54857,Day5,3,0,M,380,old,5.1,2.786,0,0,0,0,0,0,5.1,2.786,1,1,0.54627451,0.54627451
170313_7,N54858,Day5,3,0,M,380,old,3.2,0,0,0,0,0,0,0,3.2,0,1,,0,0
170501_3,N54891/N54900LRspecific,Day5,3,0,M,381,old,10.2,7.473,4.5,4.687,0,0,0,0,5.7,2.786,0.558823529,0.372808778,0.732647059,0.48877193
170501_4,N54892,Day5,3,0,F,381,old,28.5,51.947,4.3,10.226,3.4,7.899,5.5,13.175,15.2,20.648,0.533333333,0.397482049,1.822701754,1.358421053
170501_5,N54893,Day5,3,0,M,381,old,9.3,5.506,0,0,0,0,0,0,9.3,5.506,1,1,0.592043011,0.592043011
170501_6,N54897,Day5,3,0,M,381,old,6.2,4.261,0,0,0,0,0,0,6.2,4.261,1,1,0.687258065,0.687258065
170501_7,N54898,Day5,3,0,F,381,old,9.2,9.472,3.6,6.391,0,0,0,0,5.6,3.081,0.608695652,0.325274493,1.029565217,0.550178571
170501_8,N54899,Day5,3,0,F,381,old,17.5,19.665,2.9,3.605,0,0,5.8,8.226,8.8,7.833,0.502857143,0.398321892,1.123714286,0.890113636
161107_1,N54716/N54915,Day5,4,4,F,383,old,27,28.612,15.1,13.339,3.8,6.194,0.7,1.18,7.4,7.899,0.274074074,0.276072976,1.059703704,1.067432432
161107_2,N54714/N54916,Day5,4,4,F,383,old,33.5,35.101,9.5,12.585,5.5,5.113,0.3,0.361,18.2,17.043,0.543283582,0.485541723,1.047791045,0.936428571
161107_3,N54717,Day5,4,4,F,383,old,18.9,17.829,3.5,3.179,0,0,0,0,15.4,14.65,0.814814815,0.821694991,0.943333333,0.951298701
161107_4,N54715/N54917,Day5,4,4,M,379,old,19,14.224,10,6.391,0,0,0,0,9,7.833,0.473684211,0.550688976,0.748631579,0.870333333
161107_5,N54718//N54721,Day5,4,4,M,379,old,12.1,11.569,0,0,0,0,4,6.194,8.1,5.375,0.669421488,0.464603682,0.956115703,0.663580247
161107_6,N54719,Day5,4,4,M,379,old,28.1,25.236,0,0,10.7,7.571,9.2,10.455,8.3,7.21,0.295373666,0.285702964,0.898078292,0.868674699
161107_7,N54720,Day5,4,4,M,379,old,20.7,11.963,1.1,1.704,0,0,3.6,2.294,16.1,7.964,0.777777778,0.665719301,0.577922705,0.494658385
161107_8,N54722,Day5,4,4,M,379,old,19.3,15.043,10.4,8.194,0,0,0,0,9,6.85,0.466321244,0.455361298,0.779430052,0.761111111
170123_1,N54760/N54754/N54755,Day5,4,0,F,400,old,16.4,9.767,1.9,1.245,0,0,0,0,14.5,8.521,0.884146342,0.872427562,0.595548781,0.587655172
170123_2,N54757/N54759,Day5,4,0,F,400,old,7.7,6.489,3,4.457,0,0,0,0,4.7,2.032,0.61038961,0.313145323,0.842727273,0.432340426
170123_3,N54765,Day5,4,0,F,400,old,17.3,16.092,2.7,4.49,0,0,0,0,14.6,11.602,0.843930636,0.720979369,0.93017341,0.794657534
170123_4,N54766,Day5,4,4,M,396,old,14.1,8.456,6.7,5.178,0,0,0,0,7.3,3.277,0.517730497,0.387535478,0.599716312,0.44890411
170123_5,N54770,Day5,4,4,M,396,old,5.9,5.539,1.1,2.065,0,0,0,0,4.8,3.474,0.813559322,0.627189023,0.938813559,0.72375
170123_6,N54761,Day5,4,4,F,396,old,51.6,55.454,12.5,11.078,0,0,17.6,20.156,21.6,24.22,0.418604651,0.436758394,1.074689923,1.121296296
170123_7,N54762,Day5,4,4,F,396,old,7.7,7.767,3.4,5.703,0,0,0,0,4.3,2.065,0.558441558,0.265868418,1.008701299,0.480232558
170123_8,N54763,Day5,4,4,F,396,old,14.9,14.585,4.9,6.457,0,0,0,0,10,8.128,0.67114094,0.557284882,0.97885906,0.8128
170123_9,N54764,Day5,4,4,F,396,old,25,24.745,8.9,11.831,0,0,0,0,16.1,12.913,0.644,0.521842797,0.9898,0.802049689
170123_10,N54771,Day5,4,3,F,388,old,13.9,15.895,0.8,1.999,0,0,2.2,3.179,10.8,10.717,0.776978417,0.674237182,1.14352518,0.992314815
170123_11,N54772,Day5,4,3,F,388,old,60,94.75,12.3,20.746,11,22.09,11.8,19.533,24.8,32.381,0.413333333,0.341751979,1.579166667,1.305685484
170123_12,,Day5,4,3,F,388,old,14.5,9.406,5.2,4.293,0,0,0,0,9.3,5.113,0.64137931,0.543589198,0.648689655,0.549784946
170206_1,N54798,Day5,4,3,F,394,old,13.4,10.553,4.7,4.064,0,0,0,0,8.7,6.489,0.649253731,0.614896238,0.787537313,0.745862069
170206_2,N54805/N54800,Day5,4,3,F,394,old,18,23.761,8.2,13.536,2.5,3.703,1.9,2.393,5.5,4.13,0.305555556,0.173814233,1.320055556,0.750909091
170206_3,N54801,Day5,4,3,M,393,old,57.3,98.093,18.9,34.905,4.9,10.586,6.5,13.11,27,39.493,0.471204189,0.402607729,1.711919721,1.462703704
