Animal,genotype,sex,age,Trial 1/1 - Pool : time,Trial 1/2 - Pool : time,Trial 1/3 - Pool : time,Trial 1/4 - Pool : time,Trial 2/1 - Pool : time,Trial 2/2 - Pool : time,Trial 2/3 - Pool : time,Trial 2/4 - Pool : time,Trial 3/1 - Pool : time,Trial 3/2 - Pool : time,Trial 3/3 - Pool : time,Trial 3/4 - Pool : time,Trial 4/1 - Pool : time,Trial 5/1 - Pool : time,Trial 5/2 - Pool : time,Trial 5/3 - Pool : time,Trial 5/4 - Pool : time,Trial 6/1 - Pool : time,Trial 6/2 - Pool : time,Trial 6/3 - Pool : time,Trial 6/4 - Pool : time,Trial 7/1 - Pool : time,Trial 1/1 - Pool : distance,Trial 1/2 - Pool : distance,Trial 1/3 - Pool : distance,Trial 1/4 - Pool : distance,Trial 2/1 - Pool : distance,Trial 2/2 - Pool : distance,Trial 2/3 - Pool : distance,Trial 2/4 - Pool : distance,Trial 3/1 - Pool : distance,Trial 3/2 - Pool : distance,Trial 3/3 - Pool : distance,Trial 3/4 - Pool : distance,Trial 4/1 - Pool : distance,Trial 5/1 - Pool : distance,Trial 5/2 - Pool : distance,Trial 5/3 - Pool : distance,Trial 5/4 - Pool : distance,Trial 6/1 - Pool : distance,Trial 6/2 - Pool : distance,Trial 6/3 - Pool : distance,Trial 6/4 - Pool : distance,Trial 7/1 - Pool : distance,Trial 1/1 - Pool : average speed,Trial 1/2 - Pool : average speed,Trial 1/3 - Pool : average speed,Trial 1/4 - Pool : average speed,Trial 2/1 - Pool : average speed,Trial 2/2 - Pool : average speed,Trial 2/3 - Pool : average speed,Trial 2/4 - Pool : average speed,Trial 3/1 - Pool : average speed,Trial 3/2 - Pool : average speed,Trial 3/3 - Pool : average speed,Trial 3/4 - Pool : average speed,Trial 4/1 - Pool : average speed,Trial 5/1 - Pool : average speed,Trial 5/2 - Pool : average speed,Trial 5/3 - Pool : average speed,Trial 5/4 - Pool : average speed,Trial 6/1 - Pool : average speed,Trial 6/2 - Pool : average speed,Trial 6/3 - Pool : average speed,Trial 6/4 - Pool : average speed,Trial 7/1 - Pool : average speed,Trial 1/1 - NW : time,Trial 1/2 - NW : time,Trial 1/3 - NW : time,Trial 1/4 - NW : time,Trial 2/1 - NW : time,Trial 2/2 - NW : time,Trial 2/3 - NW : time,Trial 2/4 - NW : time,Trial 3/1 - NW : time,Trial 3/2 - NW : time,Trial 3/3 - NW : time,Trial 3/4 - NW : time,Trial 4/1 - NW : time,Trial 5/1 - NW : time,Trial 5/2 - NW : time,Trial 5/3 - NW : time,Trial 5/4 - NW : time,Trial 6/1 - NW : time,Trial 6/2 - NW : time,Trial 6/3 - NW : time,Trial 6/4 - NW : time,Trial 7/1 - NW : time,Trial 1/1 - NW : distance,Trial 1/2 - NW : distance,Trial 1/3 - NW : distance,Trial 1/4 - NW : distance,Trial 2/1 - NW : distance,Trial 2/2 - NW : distance,Trial 2/3 - NW : distance,Trial 2/4 - NW : distance,Trial 3/1 - NW : distance,Trial 3/2 - NW : distance,Trial 3/3 - NW : distance,Trial 3/4 - NW : distance,Trial 4/1 - NW : distance,Trial 5/1 - NW : distance,Trial 5/2 - NW : distance,Trial 5/3 - NW : distance,Trial 5/4 - NW : distance,Trial 6/1 - NW : distance,Trial 6/2 - NW : distance,Trial 6/3 - NW : distance,Trial 6/4 - NW : distance,Trial 7/1 - NW : distance,Trial 1/1 - NW : average speed,Trial 1/2 - NW : average speed,Trial 1/3 - NW : average speed,Trial 1/4 - NW : average speed,Trial 2/1 - NW : average speed,Trial 2/2 - NW : average speed,Trial 2/3 - NW : average speed,Trial 2/4 - NW : average speed,Trial 3/1 - NW : average speed,Trial 3/2 - NW : average speed,Trial 3/3 - NW : average speed,Trial 3/4 - NW : average speed,Trial 4/1 - NW : average speed,Trial 5/1 - NW : average speed,Trial 5/2 - NW : average speed,Trial 5/3 - NW : average speed,Trial 5/4 - NW : average speed,Trial 6/1 - NW : average speed,Trial 6/2 - NW : average speed,Trial 6/3 - NW : average speed,Trial 6/4 - NW : average speed,Trial 7/1 - NW : average speed,Trial 1/1 - NE : time,Trial 1/2 - NE : time,Trial 1/3 - NE : time,Trial 1/4 - NE : time,Trial 2/1 - NE : time,Trial 2/2 - NE : time,Trial 2/3 - NE : time,Trial 2/4 - NE : time,Trial 3/1 - NE : time,Trial 3/2 - NE : time,Trial 3/3 - NE : time,Trial 3/4 - NE : time,Trial 4/1 - NE : time,Trial 5/1 - NE : time,Trial 5/2 - NE : time,Trial 5/3 - NE : time,Trial 5/4 - NE : time,Trial 6/1 - NE : time,Trial 6/2 - NE : time,Trial 6/3 - NE : time,Trial 6/4 - NE : time,Trial 7/1 - NE : time,Trial 1/1 - NE : distance,Trial 1/2 - NE : distance,Trial 1/3 - NE : distance,Trial 1/4 - NE : distance,Trial 2/1 - NE : distance,Trial 2/2 - NE : distance,Trial 2/3 - NE : distance,Trial 2/4 - NE : distance,Trial 3/1 - NE : distance,Trial 3/2 - NE : distance,Trial 3/3 - NE : distance,Trial 3/4 - NE : distance,Trial 4/1 - NE : distance,Trial 5/1 - NE : distance,Trial 5/2 - NE : distance,Trial 5/3 - NE : distance,Trial 5/4 - NE : distance,Trial 6/1 - NE : distance,Trial 6/2 - NE : distance,Trial 6/3 - NE : distance,Trial 6/4 - NE : distance,Trial 7/1 - NE : distance,Trial 1/1 - NE : average speed,Trial 1/2 - NE : average speed,Trial 1/3 - NE : average speed,Trial 1/4 - NE : average speed,Trial 2/1 - NE : average speed,Trial 2/2 - NE : average speed,Trial 2/3 - NE : average speed,Trial 2/4 - NE : average speed,Trial 3/1 - NE : average speed,Trial 3/2 - NE : average speed,Trial 3/3 - NE : average speed,Trial 3/4 - NE : average speed,Trial 4/1 - NE : average speed,Trial 5/1 - NE : average speed,Trial 5/2 - NE : average speed,Trial 5/3 - NE : average speed,Trial 5/4 - NE : average speed,Trial 6/1 - NE : average speed,Trial 6/2 - NE : average speed,Trial 6/3 - NE : average speed,Trial 6/4 - NE : average speed,Trial 7/1 - NE : average speed,Trial 1/1 - SE : time,Trial 1/2 - SE : time,Trial 1/3 - SE : time,Trial 1/4 - SE : time,Trial 2/1 - SE : time,Trial 2/2 - SE : time,Trial 2/3 - SE : time,Trial 2/4 - SE : time,Trial 3/1 - SE : time,Trial 3/2 - SE : time,Trial 3/3 - SE : time,Trial 3/4 - SE : time,Trial 4/1 - SE : time,Trial 5/1 - SE : time,Trial 5/2 - SE : time,Trial 5/3 - SE : time,Trial 5/4 - SE : time,Trial 6/1 - SE : time,Trial 6/2 - SE : time,Trial 6/3 - SE : time,Trial 6/4 - SE : time,Trial 7/1 - SE : time,Trial 1/1 - SE : distance,Trial 1/2 - SE : distance,Trial 1/3 - SE : distance,Trial 1/4 - SE : distance,Trial 2/1 - SE : distance,Trial 2/2 - SE : distance,Trial 2/3 - SE : distance,Trial 2/4 - SE : distance,Trial 3/1 - SE : distance,Trial 3/2 - SE : distance,Trial 3/3 - SE : distance,Trial 3/4 - SE : distance,Trial 4/1 - SE : distance,Trial 5/1 - SE : distance,Trial 5/2 - SE : distance,Trial 5/3 - SE : distance,Trial 5/4 - SE : distance,Trial 6/1 - SE : distance,Trial 6/2 - SE : distance,Trial 6/3 - SE : distance,Trial 6/4 - SE : distance,Trial 7/1 - SE : distance,Trial 1/1 - SE : average speed,Trial 1/2 - SE : average speed,Trial 1/3 - SE : average speed,Trial 1/4 - SE : average speed,Trial 2/1 - SE : average speed,Trial 2/2 - SE : average speed,Trial 2/3 - SE : average speed,Trial 2/4 - SE : average speed,Trial 3/1 - SE : average speed,Trial 3/2 - SE : average speed,Trial 3/3 - SE : average speed,Trial 3/4 - SE : average speed,Trial 4/1 - SE : average speed,Trial 5/1 - SE : average speed,Trial 5/2 - SE : average speed,Trial 5/3 - SE : average speed,Trial 5/4 - SE : average speed,Trial 6/1 - SE : average speed,Trial 6/2 - SE : average speed,Trial 6/3 - SE : average speed,Trial 6/4 - SE : average speed,Trial 7/1 - SE : average speed,Trial 1/1 - SW : time,Trial 1/2 - SW : time,Trial 1/3 - SW : time,Trial 1/4 - SW : time,Trial 2/1 - SW : time,Trial 2/2 - SW : time,Trial 2/3 - SW : time,Trial 2/4 - SW : time,Trial 3/1 - SW : time,Trial 3/2 - SW : time,Trial 3/3 - SW : time,Trial 3/4 - SW : time,Trial 4/1 - SW : time,Trial 5/1 - SW : time,Trial 5/2 - SW : time,Trial 5/3 - SW : time,Trial 5/4 - SW : time,Trial 6/1 - SW : time,Trial 6/2 - SW : time,Trial 6/3 - SW : time,Trial 6/4 - SW : time,Trial 7/1 - SW : time,Trial 1/1 - SW : distance,Trial 1/2 - SW : distance,Trial 1/3 - SW : distance,Trial 1/4 - SW : distance,Trial 2/1 - SW : distance,Trial 2/2 - SW : distance,Trial 2/3 - SW : distance,Trial 2/4 - SW : distance,Trial 3/1 - SW : distance,Trial 3/2 - SW : distance,Trial 3/3 - SW : distance,Trial 3/4 - SW : distance,Trial 4/1 - SW : distance,Trial 5/1 - SW : distance,Trial 5/2 - SW : distance,Trial 5/3 - SW : distance,Trial 5/4 - SW : distance,Trial 6/1 - SW : distance,Trial 6/2 - SW : distance,Trial 6/3 - SW : distance,Trial 6/4 - SW : distance,Trial 7/1 - SW : distance,Trial 1/1 - SW : average speed,Trial 1/2 - SW : average speed,Trial 1/3 - SW : average speed,Trial 1/4 - SW : average speed,Trial 2/1 - SW : average speed,Trial 2/2 - SW : average speed,Trial 2/3 - SW : average speed,Trial 2/4 - SW : average speed,Trial 3/1 - SW : average speed,Trial 3/2 - SW : average speed,Trial 3/3 - SW : average speed,Trial 3/4 - SW : average speed,Trial 4/1 - SW : average speed,Trial 5/1 - SW : average speed,Trial 5/2 - SW : average speed,Trial 5/3 - SW : average speed,Trial 5/4 - SW : average speed,Trial 6/1 - SW : average speed,Trial 6/2 - SW : average speed,Trial 6/3 - SW : average speed,Trial 6/4 - SW : average speed,Trial 7/1 - SW : average speed,Trial 1/1 - Thigmotaxis : time,Trial 1/2 - Thigmotaxis : time,Trial 1/3 - Thigmotaxis : time,Trial 1/4 - Thigmotaxis : time,Trial 2/1 - Thigmotaxis : time,Trial 2/2 - Thigmotaxis : time,Trial 2/3 - Thigmotaxis : time,Trial 2/4 - Thigmotaxis : time,Trial 3/1 - Thigmotaxis : time,Trial 3/2 - Thigmotaxis : time,Trial 3/3 - Thigmotaxis : time,Trial 3/4 - Thigmotaxis : time,Trial 4/1 - Thigmotaxis : time,Trial 5/1 - Thigmotaxis : time,Trial 5/2 - Thigmotaxis : time,Trial 5/3 - Thigmotaxis : time,Trial 5/4 - Thigmotaxis : time,Trial 6/1 - Thigmotaxis : time,Trial 6/2 - Thigmotaxis : time,Trial 6/3 - Thigmotaxis : time,Trial 6/4 - Thigmotaxis : time,Trial 7/1 - Thigmotaxis : time,Trial 1/1 - Thigmotaxis : distance,Trial 1/2 - Thigmotaxis : distance,Trial 1/3 - Thigmotaxis : distance,Trial 1/4 - Thigmotaxis : distance,Trial 2/1 - Thigmotaxis : distance,Trial 2/2 - Thigmotaxis : distance,Trial 2/3 - Thigmotaxis : distance,Trial 2/4 - Thigmotaxis : distance,Trial 3/1 - Thigmotaxis : distance,Trial 3/2 - Thigmotaxis : distance,Trial 3/3 - Thigmotaxis : distance,Trial 3/4 - Thigmotaxis : distance,Trial 4/1 - Thigmotaxis : distance,Trial 5/1 - Thigmotaxis : distance,Trial 5/2 - Thigmotaxis : distance,Trial 5/3 - Thigmotaxis : distance,Trial 5/4 - Thigmotaxis : distance,Trial 6/1 - Thigmotaxis : distance,Trial 6/2 - Thigmotaxis : distance,Trial 6/3 - Thigmotaxis : distance,Trial 6/4 - Thigmotaxis : distance,Trial 7/1 - Thigmotaxis : distance,Trial 1/1 - Thigmotaxis : average speed,Trial 1/2 - Thigmotaxis : average speed,Trial 1/3 - Thigmotaxis : average speed,Trial 1/4 - Thigmotaxis : average speed,Trial 2/1 - Thigmotaxis : average speed,Trial 2/2 - Thigmotaxis : average speed,Trial 2/3 - Thigmotaxis : average speed,Trial 2/4 - Thigmotaxis : average speed,Trial 3/1 - Thigmotaxis : average speed,Trial 3/2 - Thigmotaxis : average speed,Trial 3/3 - Thigmotaxis : average speed,Trial 3/4 - Thigmotaxis : average speed,Trial 4/1 - Thigmotaxis : average speed,Trial 5/1 - Thigmotaxis : average speed,Trial 5/2 - Thigmotaxis : average speed,Trial 5/3 - Thigmotaxis : average speed,Trial 5/4 - Thigmotaxis : average speed,Trial 6/1 - Thigmotaxis : average speed,Trial 6/2 - Thigmotaxis : average speed,Trial 6/3 - Thigmotaxis : average speed,Trial 6/4 - Thigmotaxis : average speed,Trial 7/1 - Thigmotaxis : average speed,Trial 1/1 - Platform : entries,Trial 1/2 - Platform : entries,Trial 1/3 - Platform : entries,Trial 1/4 - Platform : entries,Trial 2/1 - Platform : entries,Trial 2/2 - Platform : entries,Trial 2/3 - Platform : entries,Trial 2/4 - Platform : entries,Trial 3/1 - Platform : entries,Trial 3/2 - Platform : entries,Trial 3/3 - Platform : entries,Trial 3/4 - Platform : entries,Trial 4/1 - Platform : entries,Trial 5/1 - Platform : entries,Trial 5/2 - Platform : entries,Trial 5/3 - Platform : entries,Trial 5/4 - Platform : entries,Trial 6/1 - Platform : entries,Trial 6/2 - Platform : entries,Trial 6/3 - Platform : entries,Trial 6/4 - Platform : entries,Trial 7/1 - Platform : entries,Trial 1/1 - Platform : time,Trial 1/2 - Platform : time,Trial 1/3 - Platform : time,Trial 1/4 - Platform : time,Trial 2/1 - Platform : time,Trial 2/2 - Platform : time,Trial 2/3 - Platform : time,Trial 2/4 - Platform : time,Trial 3/1 - Platform : time,Trial 3/2 - Platform : time,Trial 3/3 - Platform : time,Trial 3/4 - Platform : time,Trial 4/1 - Platform : time,Trial 5/1 - Platform : time,Trial 5/2 - Platform : time,Trial 5/3 - Platform : time,Trial 5/4 - Platform : time,Trial 6/1 - Platform : time,Trial 6/2 - Platform : time,Trial 6/3 - Platform : time,Trial 6/4 - Platform : time,Trial 7/1 - Platform : time
161107_1,4,1,383,46.6,60,39.8,60,60,60,41.2,21.6,60,60,60,60,60,60,60,42.3,56.7,60,60,60,27,60,44.442,85.016,36.347,65.024,101.338,,47.523,23.597,84.099,58.502,67.613,60.173,60.534,78.756,90.49,40.279,52.668,69.645,68.367,68.76,28.612,66.663,0.954,1.417,0.914,1.084,1.689,0,1.152,1.092,1.402,0.975,1.127,1.003,1.009,1.313,1.508,0.952,0.929,1.161,1.139,1.146,1.061,1.111,17,11.5,1.6,14.3,23.8,60,10.9,1.2,1,13.4,14.7,47.1,13.9,12.9,13,16.1,8.9,18.2,6.4,16.6,15.1,9.8,13.175,20.418,3.114,12.225,39.886,0,13.044,1.114,1.442,17.174,18.386,45.065,12.716,19.107,14.617,21.139,3.671,21.008,8.39,14.945,13.339,11.963,0.773,1.778,1.903,0.857,1.678,0,1.199,0.939,1.51,1.282,1.249,0.956,0.914,1.48,1.128,1.316,0.412,1.155,1.304,0.898,0.885,1.22,0,9.5,23.5,16.4,25.5,0,6.1,0,35.8,24,11.5,8.6,30.4,26.8,21.6,10.5,20.2,20.1,17.2,13.4,3.8,21.9,0,14.29,16.387,16.649,41.656,0,4.359,0,53.061,17.206,15.994,9.832,31.758,29.202,37.363,9.013,22.09,22.713,16.322,16.846,6.194,24.843,,1.502,0.697,1.015,1.631,,0.715,,1.483,0.717,1.393,1.141,1.045,1.089,1.733,0.858,1.091,1.13,0.95,1.261,1.641,1.135,6.6,17.4,5.6,13.7,5.2,0,4.4,1.9,9.1,12,27.4,0,13.7,7.7,21.8,2,12.4,12.5,29.2,15.6,0.7,15.3,6.883,25.334,7.931,18.321,10.652,0,7.866,1.999,14.748,10.848,27.17,0,13.896,12.553,34.02,0.885,14.847,15.371,32.381,19.14,1.18,14.781,1.038,1.454,1.421,1.333,2.053,,1.778,1.065,1.62,0.901,0.991,,1.013,1.633,1.56,0.433,1.195,1.233,1.11,1.227,1.669,0.964,22.9,21.6,9,15.6,5.5,0,19.8,18.5,14.2,10.6,6.4,4.2,2,12.6,3.7,13.7,15.1,9.3,7.2,14.4,7.4,13,24.384,24.974,8.915,17.829,9.144,0,22.254,20.484,14.847,13.274,6.063,5.277,2.163,17.895,4.49,9.242,12.061,10.553,11.274,17.829,7.899,15.076,1.064,1.157,0.988,1.144,1.661,,1.122,1.105,1.049,1.255,0.949,1.243,1.097,1.422,1.228,0.675,0.799,1.14,1.563,1.239,1.067,1.163,20.7,28,16.2,36.5,28.1,60,15.1,7,27.1,44.5,26.3,19.8,19,39.4,21.5,15.4,31.1,39.8,40.4,25.1,8.4,21.9,18.222,32.02,10.357,30.742,36.248,0,15.371,6.62,29.038,36.281,20.189,14.421,10.094,43.983,21.467,10.357,23.466,38.411,36.478,20.975,3.638,15.863,0.882,1.142,0.641,0.843,1.291,0,1.016,0.946,1.073,0.815,0.767,0.729,0.531,1.115,0.999,0.673,0.755,0.966,0.902,0.836,0.433,0.724,1,0,1,1,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,3.1,0,3.1,2.2,0,0,3.9,3.1,0,0,0,0,0,0,0,3.2,3.7,0,0,0,3,0.5
161107_2,4,1,383,16.1,19.9,60,60,27.4,60,41,32.4,60,17.5,23.4,12.1,60,60,17.7,54.1,24,26.1,17.2,24.6,33.5,60,12.126,12.979,,38.739,25.203,73.513,33.364,24.81,85.639,11.34,26.055,10.914,69.219,66.663,17.436,61.353,18.452,17.698,19.697,20.91,35.101,61.091,0.754,0.652,,0.646,0.921,1.225,0.813,0.765,1.427,0.648,1.112,0.899,1.154,1.111,0.987,1.133,0.769,0.679,1.142,0.848,1.049,1.018,0,0,0,23.7,1.7,23.4,23.7,7.4,14,1.6,0,0,23.8,21.8,8.2,21.1,11,4,1.5,4.3,9.5,19.9,0,0,0,11.668,3.277,28.645,13.831,9.505,19.894,2.917,0,0,25.138,23.696,11.438,25.171,7.866,7.538,3.474,4.49,12.585,23.007,,,,0.492,1.979,1.225,0.585,1.291,1.426,1.879,,,1.056,1.089,1.392,1.191,0.713,1.893,2.256,1.049,1.327,1.155,0,0,0,27.1,18,9.1,2.4,0.6,13.2,11.9,1.7,7.5,0,20,0,11.4,5.7,1.1,3.9,0.3,5.5,3.7,0,0,0,18.583,14.257,12.979,1.114,0.754,17.764,5.899,2.327,7.833,0,19.075,0,15.502,6.588,0.918,5.998,0.459,5.113,5.113,,,,0.685,0.792,1.433,0.468,1.363,1.347,0.497,1.398,1.045,,0.953,,1.365,1.154,0.857,1.548,1.778,0.937,1.369,0,3.4,60,9.2,3.7,5.4,6.9,12.2,22.8,0,4.3,0.1,12.3,9.8,0,5.7,0.9,0,2.2,3.9,0.3,1.9,0,4.228,0,8.489,5.342,8.03,9.865,11.143,31.791,0,7.046,0,15.076,12.651,0,8.718,1.049,0,1.082,6.653,0.361,2.851,,1.25,0,0.924,1.431,1.499,1.42,0.917,1.393,,1.641,0,1.222,1.286,,1.524,1.106,,0.493,1.709,1.045,1.506,16.1,16.5,0,0,4,22.2,8.1,12.4,10,4.1,17.5,4.5,23.9,8.4,9.4,15.9,6.3,21,9.6,16.2,18.2,34.4,12.126,8.751,0,0,2.327,23.86,8.554,3.409,16.19,2.524,16.682,3.081,29.005,11.242,5.998,11.963,2.95,9.242,9.144,9.308,17.043,30.119,0.754,0.53,,,0.586,1.075,1.061,0.275,1.613,0.619,0.955,0.679,1.216,1.342,0.635,0.751,0.467,0.44,0.949,0.574,0.937,0.874,2.6,11.4,60,42.6,13.3,17.1,11.9,10.4,19.5,9.9,2.2,2.6,8.7,18.2,2.2,8.7,8.7,1.5,1.3,1.8,6.2,7,3.638,4.556,0,18.55,7.178,12.585,5.932,5.473,21.664,1.966,2.556,2.294,9.046,8.587,2.163,6.391,4.097,1.704,1.344,2.556,5.932,6.227,1.376,0.399,0,0.436,0.542,0.737,0.498,0.526,1.112,0.198,1.138,0.886,1.038,0.472,0.985,0.734,0.471,1.11,1.026,1.402,0.955,0.895,2,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,5,5.7,3,0,0,3.1,0.1,3,0,0,3,3,3,0.7,0,5.6,5.2,3.9,5.3,3,3,3,4.9
161107_3,4,1,383,17.9,60,58.6,45.6,60,60,60,60,19.7,51.2,42.1,52.2,60,58.4,15.8,8.6,17.1,14.6,17.7,6.5,18.9,60,18.714,99.994,69.449,47.162,91.637,83.115,77.478,71.448,24.482,80.854,57.65,76.102,86.786,49.653,19.894,9.472,4.687,16.223,21.074,5.867,17.829,77.708,1.047,1.667,1.186,1.035,1.527,1.385,1.291,1.191,1.245,1.579,1.37,1.457,1.446,0.85,1.259,1.104,0.273,1.11,1.188,0.899,0.944,1.295,6.3,12.5,17.6,19.5,7.1,35,33.6,10.7,3.5,4.3,16.2,10.8,17.9,4.6,3.3,0,17.1,0,3.4,0,3.5,8.2,6.915,19.992,21.565,19.796,11.569,47.195,37.854,14.716,6.194,8.128,18.747,14.519,24.941,7.604,5.735,0,4.687,0,3.736,0,3.179,11.602,1.102,1.599,1.222,1.015,1.629,1.35,1.125,1.374,1.748,1.906,1.156,1.347,1.391,1.654,1.761,,0.273,,1.101,,0.905,1.41,0,5,36.5,9.9,33.1,6.1,23.1,18,4.5,10.4,2.6,8.2,8.2,3.5,1,2.2,0,1.7,3,0,0,5.1,0,9.505,45.786,9.931,47.162,8.98,33.299,22.811,7.964,17.37,4.621,10.947,10.357,6.948,1.54,3.998,0,3.54,5.834,0,0,9.111,,1.902,1.256,1.008,1.423,1.48,1.44,1.264,1.768,1.671,1.795,1.341,1.26,2.014,1.593,1.811,,2.121,1.952,,,1.776,2.3,11.2,0,9.5,18.9,4.4,3.2,24.4,6.8,25.2,9.4,13.3,16.2,17.2,1.3,1.5,0,1.8,1.6,0,0,7.7,3.343,18.157,0,11.537,31.791,7.538,6.325,24.745,7.767,42.377,17.698,23.565,26.416,10.455,1.442,2.687,0,4.064,1.966,0,0,11.209,1.423,1.624,,1.216,1.679,1.716,1.958,1.016,1.136,1.68,1.887,1.77,1.629,0.608,1.152,1.765,,2.288,1.265,,,1.448,9.2,31.3,4.5,6.7,0.8,14.6,0,6.9,4.8,11.3,13.9,20,17.6,33.2,10.3,4.8,0,11.2,9.8,6.5,15.4,38.9,8.456,52.34,2.098,5.899,1.114,19.402,0,9.177,2.556,12.979,16.584,27.071,25.072,24.646,11.176,2.786,0,8.62,9.537,5.867,14.65,45.786,0.915,1.671,0.469,0.875,1.346,1.332,,1.333,0.534,1.145,1.193,1.356,1.423,0.742,1.082,0.575,,0.772,0.972,0.899,0.953,1.177,2.8,13.5,10.4,15,17.6,31.5,28.2,25,5.3,15.2,15.5,11.6,13.4,7.4,2.3,0,0,0,0,0,0.8,0.2,1.278,18.911,6.457,13.11,17.075,36.117,22.319,21.434,3.998,21.238,16.977,14.093,13.47,10.455,4.064,0,0,0,0,0,1.606,0.426,0.453,1.4,0.623,0.877,0.972,1.146,0.791,0.857,0.753,1.394,1.093,1.214,1.007,1.405,1.733,,,,,,1.97,1.798,1,1,1,1,0,0,0,0,1,1,2,2,1,1,1,1,0,3,1,1,1,4,3,0.4,3.1,3.1,0,0,0,0,3,3.1,3.2,3.2,0.6,7,4.6,3.7,0,4.2,3.1,3.1,3,2.7
161107_4,4,0,379,60,20.5,60,21.1,17.8,60,60,37,34.7,25.3,6.4,56.9,60,49.4,21.8,19.8,24.4,14.4,22.6,45.7,19,60,92.751,16.19,107.827,20.746,35.199,118.839,96.782,50.374,51.947,39.558,9.439,101.567,110.711,54.274,28.612,24.679,23.663,7.046,20.91,68.006,14.224,91.243,1.546,0.791,1.797,0.983,1.98,1.981,1.613,1.361,1.499,1.565,1.479,1.785,1.845,1.098,1.313,1.249,0.97,0.49,0.923,1.488,0.747,1.521,25.8,2.2,24.4,0,5,13.5,12.7,0.1,2.9,6.4,1.4,11.9,8.2,7,0.6,1.9,6.1,8.5,0,2.8,10,18.1,32.25,5.408,50.669,0,11.405,29.792,20.844,0.295,7.735,11.635,3.867,23.827,16.158,15.601,1.114,2.524,7.702,2.524,0,5.572,6.391,20.025,1.251,2.46,2.074,,2.287,2.205,1.646,2.543,2.636,1.825,2.689,2.005,1.982,2.224,1.915,1.358,1.269,0.297,,1.997,0.638,1.107,12.9,0.8,10.7,8.9,0,7.1,10.1,1.5,5.4,2.5,0.5,5,5.5,10.9,2.6,0,0,1.1,6.2,0,0,6.7,25.597,1.606,21.926,4.326,0,13.306,21.697,3.474,11.242,5.67,1.475,9.406,9.373,9.472,5.408,0,0,1.377,5.342,0,0,11.766,1.986,1.99,2.041,0.488,,1.879,2.14,2.284,2.083,2.3,3.118,1.869,1.701,0.868,2.115,,,1.25,0.859,,,1.745,9.6,0.3,15.9,5,3.6,15.9,15.7,13.4,11.8,4.1,0.6,10.9,18.2,1.7,4.7,2.3,2.6,0,11.7,3.7,0,7.8,16.092,0.95,16.125,8.489,7.636,28.087,23.597,19.894,14.585,8.194,1.704,23.04,33.921,4.457,10.226,4.621,3.507,0,13.241,7.964,0,15.404,1.683,2.787,1.015,1.694,2.119,1.768,1.502,1.483,1.239,2.015,2.869,2.106,1.864,2.584,2.197,1.97,1.375,,1.129,2.152,,1.978,11.8,17.1,8.9,7.2,9.2,23.5,21.5,22,14.6,12.4,3.9,29,28.1,29.8,14,15.6,15.8,4.8,4.7,39.2,9,27.4,18.812,8.226,19.107,7.931,16.158,47.654,30.644,26.711,18.386,14.06,2.393,45.294,51.259,24.745,11.864,17.534,12.454,3.146,2.327,54.471,7.833,44.049,1.597,0.48,2.138,1.095,1.759,2.026,1.426,1.215,1.262,1.137,0.617,1.56,1.822,0.831,0.848,1.127,0.789,0.661,0.495,1.389,0.868,1.609,33.2,0,26.2,2.8,6.3,30.7,34.1,10.1,16.2,5.9,0,15,12.9,2.6,1.3,0,0,0,0,1.2,9.1,2.3,46.179,0,34.249,3.998,14.453,51.882,50.308,7.702,15.109,4.982,0,25.433,19.435,3.867,1.54,0,0,0,0,1.803,3.998,2.819,1.389,,1.307,1.435,2.293,1.692,1.474,0.763,0.935,0.839,,1.7,1.504,1.5,1.194,,,,,1.528,0.441,1.211,1,1,0,1,1,0,0,1,1,1,1,1,5,1,1,1,1,1,1,1,1,4,2.3,3.1,0,3,3.1,0,0,3.1,3,3.1,3.1,3.1,1.7,17.9,4.2,2.6,2.8,3,3.1,3,3.1,2.2
